         4335 function calls in 2.059 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
        5    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
        1    0.000    0.000    0.000    0.000 request.py:1160(do_request_)
        1    0.000    0.000    0.002    0.002 request.py:1200(do_open)
        1    0.000    0.000    0.000    0.000 request.py:1213(<genexpr>)
        6    0.000    0.000    0.000    0.000 request.py:1226(<genexpr>)
        1    0.000    0.000    0.002    0.002 request.py:1267(http_open)
        1    0.000    0.000    0.002    0.002 request.py:139(urlopen)
        1    0.000    0.000    0.000    0.000 request.py:247(request_host)
        1    0.000    0.000    0.000    0.000 request.py:265(__init__)
        3    0.000    0.000    0.000    0.000 request.py:283(full_url)
        1    0.000    0.000    0.000    0.000 request.py:289(full_url)
        4    0.000    0.000    0.000    0.000 request.py:302(data)
        1    0.000    0.000    0.000    0.000 request.py:306(data)
        1    0.000    0.000    0.000    0.000 request.py:320(_parse)
        1    0.000    0.000    0.000    0.000 request.py:328(get_method)
        1    0.000    0.000    0.000    0.000 request.py:333(get_full_url)
        1    0.000    0.000    0.000    0.000 request.py:344(has_proxy)
        4    0.000    0.000    0.000    0.000 request.py:351(add_unredirected_header)
        5    0.000    0.000    0.000    0.000 request.py:355(has_header)
        2    0.000    0.000    0.002    0.001 request.py:436(_call_chain)
        1    0.000    0.000    0.002    0.002 request.py:447(open)
        1    0.000    0.000    0.002    0.002 request.py:475(_open)
        1    0.000    0.000    0.000    0.000 request.py:574(http_response)
        1    0.000    0.000    0.000    0.000 socket.py:129(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:208(makefile)
        1    0.000    0.000    0.000    0.000 socket.py:393(_decref_socketios)
        1    0.000    0.000    0.000    0.000 socket.py:399(_real_close)
        2    0.000    0.000    0.000    0.000 socket.py:403(close)
        1    0.000    0.000    0.000    0.000 socket.py:549(__init__)
        1    0.000    0.000    0.001    0.001 socket.py:561(readinto)
        2    0.000    0.000    0.000    0.000 socket.py:600(readable)
        1    0.000    0.000    0.000    0.000 socket.py:638(close)
        1    0.000    0.000    0.000    0.000 socket.py:677(create_connection)
        1    0.000    0.000    0.000    0.000 socket.py:715(getaddrinfo)
        2    0.000    0.000    0.000    0.000 socket.py:87(_intenum_converter)
        5    0.000    0.000    0.006    0.001 subprocess.py:1025(communicate)
        5    0.000    0.000    0.000    0.000 subprocess.py:1074(poll)
        5    0.000    0.000    0.000    0.000 subprocess.py:1367(_get_handles)
        5    0.001    0.000    0.005    0.001 subprocess.py:1418(_execute_child)
        5    0.000    0.000    0.000    0.000 subprocess.py:1545(_handle_exitstatus)
       10    0.000    0.000    0.000    0.000 subprocess.py:1560(_internal_poll)
        5    0.000    0.000    0.000    0.000 subprocess.py:1595(_try_wait)
       10    0.000    0.000    0.000    0.000 subprocess.py:1608(wait)
        5    0.000    0.000    0.000    0.000 subprocess.py:503(_cleanup)
        5    0.000    0.000    0.011    0.002 subprocess.py:585(check_output)
        5    0.000    0.000    0.000    0.000 subprocess.py:640(__init__)
        5    0.000    0.000    0.011    0.002 subprocess.py:662(run)
        5    0.000    0.000    0.005    0.001 subprocess.py:834(__init__)
        5    0.000    0.000    0.000    0.000 subprocess.py:979(__enter__)
        5    0.000    0.000    0.000    0.000 subprocess.py:982(__exit__)
        5    0.000    0.000    0.000    0.000 subprocess.py:994(__del__)
        7    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa1b980}
        5    0.002    0.000    0.002    0.000 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
        5    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.013    0.013 {built-in method builtins.exec}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       38    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       29    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
